features,learn_rate,val_acc
1,1e-06,0.027
1,1e-05,0.027
1,0.0001,0.027
1,0.001,0.027
1,0.01,0.027
1,0.1,0.027
1,1.0,0.027
10,1e-06,0.196
10,1e-05,0.211
10,0.0001,0.207
10,0.001,0.223
10,0.01,0.369
10,0.1,0.476
10,1.0,0.5
20,1e-06,0.245
20,1e-05,0.268
20,0.0001,0.277
20,0.001,0.259
20,0.01,0.373
20,0.1,0.432
20,1.0,0.443
30,1e-06,0.301
30,1e-05,0.3
30,0.0001,0.264
30,0.001,0.273
30,0.01,0.37
30,0.1,0.418
30,1.0,0.384
40,1e-06,0.323
40,1e-05,0.286
40,0.0001,0.278
40,0.001,0.32
40,0.01,0.361
40,0.1,0.406
40,1.0,0.354
50,1e-06,0.295
50,1e-05,0.33
50,0.0001,0.289
50,0.001,0.296
50,0.01,0.367
50,0.1,0.376
50,1.0,0.373
60,1e-06,0.306
60,1e-05,0.348
60,0.0001,0.289
60,0.001,0.319
60,0.01,0.374
60,0.1,0.382
60,1.0,0.366
70,1e-06,0.337
70,1e-05,0.381
70,0.0001,0.358
70,0.001,0.283
70,0.01,0.365
70,0.1,0.377
70,1.0,0.392
80,1e-06,0.363
80,1e-05,0.323
80,0.0001,0.322
80,0.001,0.325
80,0.01,0.354
80,0.1,0.383
80,1.0,0.379
90,1e-06,0.31
90,1e-05,0.281
90,0.0001,0.316
90,0.001,0.32
90,0.01,0.379
90,0.1,0.378
90,1.0,0.375
100,1e-06,0.343
100,1e-05,0.327
100,0.0001,0.313
100,0.001,0.306
100,0.01,0.366
100,0.1,0.388
100,1.0,0.409
