features,learn_rate,val_acc
1,1e-06,0.027
1,1e-05,0.027
1,0.0001,0.027
1,0.001,0.027
1,0.01,0.027
1,0.1,0.027
1,1.0,0.027
10,1e-06,0.135
10,1e-05,0.152
10,0.0001,0.136
10,0.001,0.119
10,0.01,0.239
10,0.1,0.424
10,1.0,0.486
20,1e-06,0.17
20,1e-05,0.174
20,0.0001,0.169
20,0.001,0.128
20,0.01,0.222
20,0.1,0.357
20,1.0,0.425
30,1e-06,0.188
30,1e-05,0.21
30,0.0001,0.185
30,0.001,0.099
30,0.01,0.245
30,0.1,0.333
30,1.0,0.332
40,1e-06,0.203
40,1e-05,0.191
40,0.0001,0.206
40,0.001,0.1
40,0.01,0.221
40,0.1,0.345
40,1.0,0.345
50,1e-06,0.21
50,1e-05,0.225
50,0.0001,0.217
50,0.001,0.102
50,0.01,0.232
50,0.1,0.336
50,1.0,0.358
60,1e-06,0.225
60,1e-05,0.24
60,0.0001,0.21
60,0.001,0.096
60,0.01,0.264
60,0.1,0.338
60,1.0,0.37
70,1e-06,0.232
70,1e-05,0.271
70,0.0001,0.249
70,0.001,0.093
70,0.01,0.263
70,0.1,0.341
70,1.0,0.367
80,1e-06,0.259
80,1e-05,0.228
80,0.0001,0.239
80,0.001,0.089
80,0.01,0.268
80,0.1,0.345
80,1.0,0.361
90,1e-06,0.257
90,1e-05,0.254
90,0.0001,0.243
90,0.001,0.098
90,0.01,0.261
90,0.1,0.347
90,1.0,0.366
100,1e-06,0.24
100,1e-05,0.222
100,0.0001,0.25
100,0.001,0.094
100,0.01,0.239
100,0.1,0.366
100,1.0,0.39
