features,learn_rate,val_acc
1,1e-06,0.114
1,1e-05,0.114
1,0.0001,0.114
1,0.001,0.114
1,0.01,0.114
1,0.1,0.114
1,1.0,0.114
10,1e-06,0.341
10,1e-05,0.341
10,0.0001,0.403
10,0.001,0.392
10,0.01,0.64
10,0.1,0.734
10,1.0,0.429
20,1e-06,0.434
20,1e-05,0.437
20,0.0001,0.446
20,0.001,0.424
20,0.01,0.571
20,0.1,0.673
20,1.0,0.613
30,1e-06,0.51
30,1e-05,0.451
30,0.0001,0.439
30,0.001,0.495
30,0.01,0.59
30,0.1,0.636
30,1.0,0.421
40,1e-06,0.413
40,1e-05,0.454
40,0.0001,0.364
40,0.001,0.418
40,0.01,0.536
40,0.1,0.619
40,1.0,0.633
50,1e-06,0.459
50,1e-05,0.474
50,0.0001,0.488
50,0.001,0.547
50,0.01,0.607
50,0.1,0.63
50,1.0,0.515
60,1e-06,0.399
60,1e-05,0.485
60,0.0001,0.432
60,0.001,0.447
60,0.01,0.594
60,0.1,0.677
60,1.0,0.592
70,1e-06,0.52
70,1e-05,0.407
70,0.0001,0.468
70,0.001,0.515
70,0.01,0.567
70,0.1,0.641
70,1.0,0.494
80,1e-06,0.503
80,1e-05,0.485
80,0.0001,0.572
80,0.001,0.57
80,0.01,0.57
80,0.1,0.607
80,1.0,0.57
90,1e-06,0.601
90,1e-05,0.44
90,0.0001,0.487
90,0.001,0.559
90,0.01,0.592
90,0.1,0.599
90,1.0,0.618
100,1e-06,0.538
100,1e-05,0.472
100,0.0001,0.472
100,0.001,0.442
100,0.01,0.66
100,0.1,0.586
100,1.0,0.633
