features,learn_rate,val_acc
1,1e-06,0.114
1,1e-05,0.114
1,0.0001,0.114
1,0.001,0.114
1,0.01,0.114
1,0.1,0.114
1,1.0,0.114
10,1e-06,0.314
10,1e-05,0.295
10,0.0001,0.287
10,0.001,0.281
10,0.01,0.474
10,0.1,0.693
10,1.0,0.729
20,1e-06,0.356
20,1e-05,0.376
20,0.0001,0.335
20,0.001,0.318
20,0.01,0.563
20,0.1,0.574
20,1.0,0.596
30,1e-06,0.413
30,1e-05,0.349
30,0.0001,0.422
30,0.001,0.25
30,0.01,0.405
30,0.1,0.568
30,1.0,0.57
40,1e-06,0.385
40,1e-05,0.414
40,0.0001,0.38
40,0.001,0.232
40,0.01,0.408
40,0.1,0.631
40,1.0,0.559
50,1e-06,0.347
50,1e-05,0.413
50,0.0001,0.433
50,0.001,0.257
50,0.01,0.478
50,0.1,0.648
50,1.0,0.582
60,1e-06,0.405
60,1e-05,0.355
60,0.0001,0.373
60,0.001,0.252
60,0.01,0.386
60,0.1,0.67
60,1.0,0.59
70,1e-06,0.414
70,1e-05,0.418
70,0.0001,0.443
70,0.001,0.331
70,0.01,0.438
70,0.1,0.606
70,1.0,0.607
80,1e-06,0.43
80,1e-05,0.437
80,0.0001,0.456
80,0.001,0.345
80,0.01,0.465
80,0.1,0.611
80,1.0,0.619
90,1e-06,0.403
90,1e-05,0.478
90,0.0001,0.371
90,0.001,0.34
90,0.01,0.477
90,0.1,0.655
90,1.0,0.625
100,1e-06,0.43
100,1e-05,0.399
100,0.0001,0.335
100,0.001,0.374
100,0.01,0.418
100,0.1,0.668
100,1.0,0.608
